entrez_gene_id	symbol	description	gene_type	mean_expression	stdev_expression
1	A1BG	alpha-1-B glycoprotein	protein-coding	6.541	2.309
10	NAT2	N-acetyltransferase 2	protein-coding	2.04	2.085
100	ADA	adenosine deaminase	protein-coding	7.445	1.539
1000	CDH2	cadherin 2	protein-coding	7.336	3.113
10000	AKT3	AKT serine/threonine kinase 3	protein-coding	8.764	1.648
100008586	GAGE12F	G antigen 12F	protein-coding	0.008253	0.1226
100009676	ZBTB11-AS1	ZBTB11 antisense RNA 1	ncRNA	6.58	0.6512
10001	MED6	mediator complex subunit 6	protein-coding	8.503	0.5279
10002	NR2E3	nuclear receptor subfamily 2 group E member 3	protein-coding	1.843	1.164
10003	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	protein-coding	3.892	1.639
100033413	SNORD116-1	small nucleolar RNA, C/D box 116-1	snoRNA	0	0
100033414	SNORD116-2	small nucleolar RNA, C/D box 116-2	snoRNA	0	0
100033415	SNORD116-3	small nucleolar RNA, C/D box 116-3	snoRNA	0	0
100033416	SNORD116-4	small nucleolar RNA, C/D box 116-4	snoRNA	4.325	2.67
100033417	SNORD116-5	small nucleolar RNA, C/D box 116-5	snoRNA	0	0
100033420	SNORD116-8	small nucleolar RNA, C/D box 116-8	snoRNA	0	0
100033422	SNORD116-10	small nucleolar RNA, C/D box 116-10	snoRNA	0	0
100033423	SNORD116-11	small nucleolar RNA, C/D box 116-11	snoRNA	0	0
100033424	SNORD116-12	small nucleolar RNA, C/D box 116-12	snoRNA	0	0
100033425	SNORD116-13	small nucleolar RNA, C/D box 116-13	snoRNA	0	0
100033426	SNORD116-14	small nucleolar RNA, C/D box 116-14	snoRNA	0	0
100033427	SNORD116-15	small nucleolar RNA, C/D box 116-15	snoRNA	0	0
100033428	SNORD116-16	small nucleolar RNA, C/D box 116-16	snoRNA	0	0
100033430	SNORD116-18	small nucleolar RNA, C/D box 116-18	snoRNA	0	0
100033431	SNORD116-20	small nucleolar RNA, C/D box 116-20	snoRNA	2.595	1.747
100033433	SNORD116-22	small nucleolar RNA, C/D box 116-22	snoRNA	0	0
100033434	SNORD116-23	small nucleolar RNA, C/D box 116-23	snoRNA	0	0
100033435	SNORD116-24	small nucleolar RNA, C/D box 116-24	snoRNA	0	0
100033436	SNORD116-25	small nucleolar RNA, C/D box 116-25	snoRNA	0	0
100033437	SNORD115-2	small nucleolar RNA, C/D box 115-2	snoRNA	0	0
100033438	SNORD116-26	small nucleolar RNA, C/D box 116-26	snoRNA	0	0
100033439	SNORD116-27	small nucleolar RNA, C/D box 116-27	snoRNA	0	0
100033440	SNORD115-3	small nucleolar RNA, C/D box 115-3	snoRNA	0	0
100033441	SNORD115-4	small nucleolar RNA, C/D box 115-4	snoRNA	0	0
100033442	SNORD115-5	small nucleolar RNA, C/D box 115-5	snoRNA	0	0
100033443	SNORD115-6	small nucleolar RNA, C/D box 115-6	snoRNA	0	0
100033444	SNORD115-7	small nucleolar RNA, C/D box 115-7	snoRNA	0.01881	0.1302
100033445	SNORD115-8	small nucleolar RNA, C/D box 115-8	snoRNA	0	0
100033446	SNORD115-9	small nucleolar RNA, C/D box 115-9	snoRNA	0	0
100033447	SNORD115-10	small nucleolar RNA, C/D box 115-10	snoRNA	0	0
100033448	SNORD115-11	small nucleolar RNA, C/D box 115-11	snoRNA	0	0
100033450	SNORD115-13	small nucleolar RNA, C/D box 115-13	snoRNA	0.07771	0.3071
100033451	SNORD115-14	small nucleolar RNA, C/D box 115-14	snoRNA	0	0
100033454	SNORD115-16	small nucleolar RNA, C/D box 115-16	snoRNA	0	0
100033455	SNORD115-17	small nucleolar RNA, C/D box 115-17	snoRNA	0	0
100033460	SNORD115-20	small nucleolar RNA, C/D box 115-20	snoRNA	6.199e-05	0.005678
100033799	SNORD115-22	small nucleolar RNA, C/D box 115-22	snoRNA	0	0
100033801	SNORD115-25	small nucleolar RNA, C/D box 115-25	snoRNA	0	0
100033802	SNORD115-26	small nucleolar RNA, C/D box 115-26	snoRNA	0.4825	1.064
100033804	SNORD115-30	small nucleolar RNA, C/D box 115-30	snoRNA	0	0
100033805	SNORD115-31	small nucleolar RNA, C/D box 115-31	snoRNA	0	0
100033806	SNORD115-32	small nucleolar RNA, C/D box 115-32	snoRNA	0	0
100033807	SNORD115-33	small nucleolar RNA, C/D box 115-33	snoRNA	0	0
100033809	SNORD115-35	small nucleolar RNA, C/D box 115-35	snoRNA	0	0
100033811	SNORD115-37	small nucleolar RNA, C/D box 115-37	snoRNA	0	0
100033812	SNORD115-38	small nucleolar RNA, C/D box 115-38	snoRNA	0	0
100033813	SNORD115-39	small nucleolar RNA, C/D box 115-39	snoRNA	0	0
100033814	SNORD115-40	small nucleolar RNA, C/D box 115-40	snoRNA	0	0
100033815	SNORD115-41	small nucleolar RNA, C/D box 115-41	snoRNA	0	0
100033818	SNORD115-44	small nucleolar RNA, C/D box 115-44	snoRNA	0	0
100033820	SNORD116-28	small nucleolar RNA, C/D box 116-28	snoRNA	4.062	2.028
100033821	SNORD116-29	small nucleolar RNA, C/D box 116-29	snoRNA	0	0
100033822	SNORD115-48	small nucleolar RNA, C/D box 115-48	snoRNA	0	0
100036563	SNORD115-24	small nucleolar RNA, C/D box 115-24	snoRNA	0	0
100036564	SNORD115-27	small nucleolar RNA, C/D box 115-27	snoRNA	0	0
100036565	SNORD115-28	small nucleolar RNA, C/D box 115-28	snoRNA	0	0
100036566	SNORD115-45	small nucleolar RNA, C/D box 115-45	snoRNA	0	0
100036567	SNORD115-47	small nucleolar RNA, C/D box 115-47	snoRNA	0	0
100037417	DDTL	D-dopachrome tautomerase like	protein-coding	8.487	1.038
100038246	TLX1NB	TLX1 neighbor	ncRNA	0.6952	1.325
10004	NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1	protein-coding	5.262	1.359
100048912	CDKN2B-AS1	CDKN2B antisense RNA 1	ncRNA	3.061	1.77
100049587	SIGLEC14	sialic acid binding Ig like lectin 14	protein-coding	4.616	1.981
10005	ACOT8	acyl-CoA thioesterase 8	protein-coding	8.869	0.6678
10006	ABI1	abl interactor 1	protein-coding	10.49	0.6087
10007	GNPDA1	glucosamine-6-phosphate deaminase 1	protein-coding	10.14	0.601
100073347	MIMT1	MER1 repeat containing imprinted transcript 1 (non-protein coding)	ncRNA	0.7837	1.358
10008	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3	protein-coding	7.894	1.929
10009	ZBTB33	zinc finger and BTB domain containing 33	protein-coding	9.592	0.6509
100093630	SNHG8	small nucleolar RNA host gene 8	ncRNA	9.287	1.053
1001	CDH3	cadherin 3	protein-coding	9.174	3.419
10010	TANK	TRAF family member associated NFKB activator	protein-coding	9.441	0.6627
100101116	TTTY1B	testis-specific transcript, Y-linked 1B (non-protein coding)	ncRNA	0.01205	0.0993
100101266	HAVCR1P1	hepatitis A virus cellular receptor 1 pseudogene 1	pseudo	2.632	1.271
100101267	POM121C	POM121 transmembrane nucleoporin C	protein-coding	9.876	0.5248
