entrez_id	chr	symbol
1	chr19	A1BG
2	chr12	A2M
3	chr12	A2MP1
9	chr8	NAT1
10	chr8	NAT2
11	chr8	NATP
12	chr14	SERPINA3
13	chr3	AADAC
14	chr2	AAMP
15	chr17	AANAT
16	chr16	AARS
17	chr19	AAVS1
18	chr16	ABAT
19	chr9	ABCA1
20	chr9	ABCA2
21	chr16	ABCA3
22	chrX	ABCB7
23	chr6	ABCF1
24	chr1	ABCA4
25	chr9	ABL1
26	chr7	AOC1
27	chr1	ABL2
28	chr9	ABO
29	chr17	ABR
30	chr3	ACAA1
31	chr17	ACACA
32	chr12	ACACB
33	chr2	ACADL
34	chr1	ACADM
35	chr12	ACADS
36	chr10	ACADSB
37	chr17	ACADVL
38	chr11	ACAT1
39	chr6	ACAT2
40	chr17	ASIC2
41	chr12	ASIC1
43	chr7	ACHE
46	chr12	ACLS
47	chr17	ACLY
48	chr9	ACO1
49	chr22	ACR
50	chr22	ACO2
51	chr17	ACOX1
52	chr2	ACP1
53	chr11	ACP2
54	chr19	ACP5
55	chr3	ACPP
56	chr11	ACRV1
58	chr1	ACTA1
59	chr10	ACTA2
60	chr7	ACTB
62	chr5	ACTBP2
63	chr18	ACTBP3
64	chr5	ACTBP4
66	chr8	ACTBP6
67	chr15	ACTBP7
68	chr6	ACTBP8
69	chr18	ACTBP9
70	chr15	ACTC1
71	chr17	ACTG1
72	chr2	ACTG2
73	chr3	ACTG1P1
74	chrY	ACTG1P2
75	chr20	ACTG1P3
78	chr1	ACTG1P6
79	chr1	ACTG1P7
80	chr1	ACTG1P8
81	chr19	ACTN4
82	chr6	ACTG1P9
83	chrX	ACTG1P10
86	chr3	ACTL6A
87	chr14	ACTN1
88	chr1	ACTN2
89	chr11	ACTN3
90	chr2	ACVR1
91	chr12	ACVR1B
92	chr2	ACVR2A
93	chr3	ACVR2B
94	chr12	ACVRL1
95	chr3	ACY1
97	chr14	ACYP1
98	chr2	ACYP2
100	chr20	ADA
101	chr10	ADAM8
102	chr15	ADAM10
103	chr1	ADAR
104	chr21	ADARB1
105	chr10	ADARB2
106	chr6	ADCP1
107	chr7	ADCY1
108	chr5	ADCY2
109	chr2	ADCY3
111	chr3	ADCY5
112	chr12	ADCY6
113	chr16	ADCY7
114	chr8	ADCY8
115	chr16	ADCY9
116	chr18	ADCYAP1
117	chr7	ADCYAP1R1
118	chr4	ADD1
119	chr2	ADD2
120	chr10	ADD3
122	chrX	ADFN
123	chr9	PLIN2
124	chr4	ADH1A
125	chr4	ADH1B
126	chr4	ADH1C
127	chr4	ADH4
128	chr4	ADH5
130	chr4	ADH6
131	chr4	ADH7
132	chr10	ADK
133	chr11	ADM
134	chr1	ADORA1
135	chr22	ADORA2A
136	chr17	ADORA2B
137	chr1	ADORA2BP1
140	chr1	ADORA3
141	chr3	ADPRH
142	chr1	PARP1
143	chr13	PARP4
144	chr13	PARP1P1
145	chr14	PARP1P2
146	chr20	ADRA1D
147	chr5	ADRA1B
148	chr8	ADRA1A
150	chr10	ADRA2A
151	chr2	ADRA2B
152	chr4	ADRA2C
153	chr10	ADRB1
154	chr5	ADRB2
155	chr8	ADRB3
156	chr11	GRK2
157	chr22	GRK3
158	chr22	ADSL
159	chr1	ADSS
160	chr19	AP2A1
161	chr11	AP2A2
162	chr22	AP1B1
163	chr17	AP2B1
164	chr16	AP1G1
165	chr7	AEBP1
166	chr19	AES
167	chr6	CRISP1
169	chr3	AF8T
170	chr-	AFA
171	chr9	AFD1
172	chr16	AFG3L1P
173	chr4	AFM
174	chr4	AFP
175	chr4	AGA
176	chr15	ACAN
177	chr6	AGER
178	chr1	AGL
179	chrX	AGMX2
181	chr16	AGRP
182	chr20	JAG1
183	chr1	AGT
185	chr3	AGTR1
186	chrX	AGTR2
187	chr11	APLNR
189	chr2	AGXT
190	chrX	NR0B1
191	chr20	AHCY
192	chrX	AIC
196	chr7	AHR
197	chr3	AHSG
199	chr6	AIF1
201	chrX	AIH3
202	chr6	AIM1
203	chr9	AK1
204	chr1	AK2
205	chr1	AK4
206	chr17	AK4P1
207	chr14	AKT1
208	chr19	AKT2
210	chr9	ALAD
211	chr3	ALAS1
212	chrX	ALAS2
213	chr4	ALB
214	chr3	ALCAM
215	chrX	ABCD1
216	chr9	ALDH1A1
217	chr12	ALDH2
218	chr17	ALDH3A1
219	chr9	ALDH1B1
220	chr15	ALDH1A3
221	chr11	ALDH3B1
222	chr11	ALDH3B2
223	chr1	ALDH9A1
224	chr17	ALDH3A2
225	chr12	ABCD2
226	chr16	ALDOA
228	chr10	ALDOAP2
229	chr9	ALDOB
230	chr17	ALDOC
231	chr7	AKR1B1
236	chr3	AKR1B1P2
238	chr2	ALK
239	chr17	ALOX12
240	chr10	ALOX5
241	chr13	ALOX5AP
242	chr17	ALOX12B
243	chr17	ALOX12P1
245	chr17	ALOX12P2
246	chr17	ALOX15
247	chr17	ALOX15B
248	chr2	ALPI
249	chr1	ALPL
250	chr2	ALPP
251	chr2	ALPPL2
253	chr18	ALS3
255	chr15	ALS5
257	chr1	ALX3
258	chr4	AMBN
259	chr9	AMBP
261	chr5	AMCN
262	chr6	AMD1
263	chrX|Y	AMD1P2
265	chrX	AMELX
266	chrY	AMELY
267	chr16	AMFR
268	chr19	AMH
269	chr12	AMHR2
270	chr1	AMPD1
271	chr1	AMPD2
272	chr11	AMPD3
273	chr7	AMPH
274	chr2	BIN1
275	chr3	AMT
276	chr1	AMY1A
277	chr1	AMY1B
278	chr1	AMY1C
279	chr1	AMY2A
280	chr1	AMY2B
281	chr1	AMYP1
282	chr15	ANCR
283	chr14	ANG
284	chr8	ANGPT1
285	chr8	ANGPT2
286	chr8	ANK1
287	chr4	ANK2
288	chr10	ANK3
289	chrX	ANOP1
290	chr15	ANPEP
291	chr4	SLC25A4
292	chrX	SLC25A5
293	chrX|Y	SLC25A6
301	chr9	ANXA1
302	chr15	ANXA2
303	chr4	ANXA2P1
304	chr9	ANXA2P2
305	chr10	ANXA2P3
306	chr4	ANXA3
307	chr2	ANXA4
308	chr4	ANXA5
309	chr5	ANXA6
310	chr10	ANXA7
311	chr10	ANXA11
312	chr8	ANXA13
313	chr7	AOAH
314	chr17	AOC2
316	chr2	AOX1
317	chr12	APAF1
318	chr9	NUDT2
319	chr12	APOF
320	chr9	APBA1
321	chr15	APBA2
322	chr11	APBB1
323	chr4	APBB2
324	chr5	APC
325	chr1	APCS
326	chr21	AIRE
327	chr3	APEH
328	chr14	APEX1
329	chr11	BIRC2
330	chr11	BIRC3
331	chrX	XIAP
332	chr17	BIRC5
333	chr19	APLP1
334	chr11	APLP2
335	chr11	APOA1
336	chr1	APOA2
337	chr11	APOA4
338	chr2	APOB
339	chr12	APOBEC1
341	chr19	APOC1
342	chr19	APOC1P1
343	chr16	AQP8
344	chr19	APOC2
345	chr11	APOC3
346	chr19	APOC4
347	chr3	APOD
348	chr19	APOE
350	chr17	APOH
351	chr21	APP
353	chr16	APRT
354	chr19	KLK3
355	chr10	FAS
356	chr1	FASLG
357	chrX	SHROOM2
358	chr7	AQP1
359	chr12	AQP2
360	chr9	AQP3
361	chr18	AQP4
362	chr12	AQP5
363	chr12	AQP6
364	chr9	AQP7
366	chr15	AQP9
367	chrX	AR
368	chr16	ABCC6
369	chrX	ARAF
372	chr11	ARCN1
373	chr5	TRIM23
374	chr4	AREG
375	chr1	ARF1
377	chr12	ARF3
378	chr3	ARF4
379	chr17	ARL4D
380	chr9	ARF4P1
381	chr7	ARF5
382	chr14	ARF6
383	chr6	ARG1
384	chr14	ARG2
387	chr3	RHOA
388	chr2	RHOB
389	chr1	RHOC
390	chr2	RND3
391	chr11	RHOG
392	chr11	ARHGAP1
393	chrX	ARHGAP4
394	chr14	ARHGAP5
395	chrX	ARHGAP6
396	chr17	ARHGDIA
397	chr12	ARHGDIB
398	chr16	ARHGDIG
399	chr4	RHOH
400	chr12	ARL1
401	chr11	PHOX2A
402	chr11	ARL2
403	chr10	ARL3
405	chr1	ARNT
406	chr11	ARNTL
407	chrX	ARR3
408	chr11	ARRB1
409	chr17	ARRB2
410	chr22	ARSA
411	chr5	ARSB
412	chrX	STS
413	chrX	ARSC2
414	chrX	ARSD
415	chrX	ARSE
416	chrX	ARSF
417	chr11	ART1
418	chr11	ART2P
419	chr4	ART3
420	chr12	ART4
421	chr22	ARVCF
424	chr14	ARVD3
425	chr2	ARVD4
427	chr8	ASAH1
429	chr12	ASCL1
430	chr11	ASCL2
431	chr5	ASD1
432	chr17	ASGR1
433	chr17	ASGR2
434	chr20	ASIP
435	chr7	ASL
436	chr22	ASLP1
438	chrX|Y	ASMT
439	chr19	ASNA1
440	chr7	ASNS
442	chr21	ASNSP2
443	chr17	ASPA
444	chr8	ASPH
445	chr9	ASS1
447	chr2	ASS1P2
449	chrX	ASS1P4
450	chrX	ASS1P5
451	chrY	ASS1P6
453	chr4	ASS1P8
454	chr5	ASS1P9
455	chr5	ASS1P10
459	chr12	ASS1P14
460	chr1	ASTN1
462	chr1	SERPINC1
463	chr16	ZFHX3
465	chr15	ATD
466	chr12	ATF1
467	chr1	ATF3
468	chr22	ATF4
469	chrX	ATF4P1
470	chr19	ATHS
471	chr2	ATIC
472	chr11	ATM
473	chr1	RERE
474	chr4	ATOH1
475	chr5	ATOX1
476	chr1	ATP1A1
477	chr1	ATP1A2
478	chr19	ATP1A3
479	chr13	ATP12A
480	chr1	ATP1A4
481	chr1	ATP1B1
482	chr17	ATP1B2
483	chr3	ATP1B3
484	chr2	ATP1B3P1
485	chr4	ATP1B1P1
486	chr11	FXYD2
487	chr16	ATP2A1
488	chr12	ATP2A2
489	chr17	ATP2A3
490	chr12	ATP2B1
491	chr3	ATP2B2
492	chrX	ATP2B3
493	chr1	ATP2B4
495	chr19	ATP4A
496	chr13	ATP4B
498	chr18	ATP5A1
501	chr5	ALDH7A1
504	chr2	ATP5A1P2
506	chr12	ATP5B
507	chr2	ATP5BP1
509	chr10	ATP5C1
513	chr19	ATP5D
514	chr20	ATP5E
515	chr1	ATP5F1
516	chr17	ATP5G1
517	chr12	ATP5G2
518	chr2	ATP5G3
520	chr1	ATP5G2P1
521	chr4	ATP5I
522	chr21	ATP5J
523	chr3	ATP6V1A
525	chr2	ATP6V1B1
526	chr8	ATP6V1B2
527	chr16	ATP6V0C
528	chr8	ATP6V1C1
529	chr22	ATP6V1E1
533	chr1	ATP6V0B
534	chr6	ATP6V1G2
535	chr17	ATP6V0A1
537	chrX	ATP6AP1
538	chrX	ATP7A
539	chr21	ATP5O
540	chr13	ATP7B
541	chr5	ALDH7A1P1
542	chr2	ALDH7A1P2
543	chr7	ALDH7A1P3
544	chr10	ALDH7A1P4
545	chr3	ATR
546	chrX	ATRX
547	chr2	KIF1A
549	chr9	AUH
550	chr2	AUP1
551	chr20	AVP
552	chr12	AVPR1A
553	chr1	AVPR1B
554	chrX	AVPR2
558	chr19	AXL
560	chrY	AZF1
563	chr7	AZGP1
566	chr19	AZU1
567	chr15	B2M
568	chr15	B2MR
570	chr9	BAAT
571	chr21	BACH1
572	chr11	BAD
573	chr9	BAG1
574	chr21	BAGE
575	chr8	ADGRB1
576	chr1	ADGRB2
577	chr6	ADGRB3
578	chr6	BAK1
579	chr4	NKX3-2
580	chr2	BARD1
581	chr19	BAX
582	chr11	BBS1
